family,variant,title,accession,length,brazil_filter,recent_filter
blaKPC,,"Pseudomonas aeruginosa PAXW27 blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-289, complete CDS",NG_246039.1,912,False,False
blaKPC,,"Pseudomonas aeruginosa SRMPA7089 blaKPC gene for inhibitor-resistant class A beta-lactamase KPC-288, complete CDS",NG_246038.1,888,False,False
blaKPC,,"Klebsiella pneumoniae ISTTKP0124 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-245, complete CDS",NG_244123.1,1109,False,False
blaKPC,,"Klebsiella pneumoniae A123 unknown blaKPC gene for inhibitor-resistant class A beta-lactamase KPC-150, complete CDS",NG_242294.1,873,False,False
blaKPC,,"Klebsiella huaxiensis unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-157, complete CDS",NG_149662.1,1082,False,False
blaKPC,,"Klebsiella pneumoniae RIVM_C048764 unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-153, complete CDS",NG_148627.1,888,False,False
blaKPC,,"Klebsiella pneumoniae R163S unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-99, complete CDS",NG_088405.1,882,False,False
blaKPC,,"Klebsiella pneumoniae N4103871 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-143, complete CDS",NG_088403.1,882,False,False
blaKPC,,"Klebsiella pneumoniae N3182918 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-142, complete CDS",NG_088402.1,903,False,False
blaKPC,,"Klebsiella pneumoniae N2192196 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-141, complete CDS",NG_088401.1,885,False,False
blaKPC,,"Klebsiella pneumoniae N0194414 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-140, complete CDS",NG_088400.1,927,False,False
blaKPC,,"Klebsiella pneumoniae M7213934 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-139, complete CDS",NG_088399.1,900,False,False
blaKPC,,"Klebsiella pneumoniae KH271 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-101, complete CDS",NG_088394.1,888,False,False
blaKPC,,"Klebsiella pneumoniae unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-93, complete CDS",NG_080780.1,897,False,False
blaKPC,,"Citrobacter koseri CK1008 unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-123, complete CDS",NG_079898.1,909,False,False
blaKPC,,"Klebsiella pneumoniae RIVM_C016661 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-85, complete CDS",NG_074721.1,882,False,False
blaKPC,,"Klebsiella pneumoniae 090305X2B1 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-77, complete CDS",NG_070897.1,882,False,False
blaKPC,,"Klebsiella pneumoniae HS453 unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-76, complete CDS",NG_070896.1,1103,False,False
blaKPC,,"Klebsiella pneumoniae K53 unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-61, complete CDS",NG_070180.1,882,False,False
blaKPC,,"Klebsiella pneumoniae 1099927 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-59, complete CDS",NG_070178.1,882,False,False
blaKPC,,"Klebsiella pneumoniae 1106489 unknown blaKPC gene for inhibitor-resistant class A beta-lactamase KPC-58, complete CDS",NG_070177.1,906,False,False
blaKPC,,"Klebsiella pneumoniae N859 unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-50, complete CDS",NG_068507.1,891,False,False
blaKPC,,"Klebsiella pneumoniae SENTRY Antimicrobial Surveillance Program 941690 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-56, c",NG_068016.1,882,False,False
blaKPC,,"Klebsiella pneumoniae KPC-079 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-27, complete CDS",NG_052862.1,882,False,False
blaKPC,,"Klebsiella pneumoniae JMI#21 unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-25, complete CDS",NG_051167.1,888,False,False
blaKPC,,"Klebsiella pneumoniae UC331 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-24, complete CDS",NG_049256.1,1082,False,False
blaKPC,,"Klebsiella pneumoniae kp1241 unknown blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-15, complete CDS",NG_049248.1,882,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1861, whole genome shotgun sequencing project",DBMZQB000000000.1,150,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN0555, whole genome shotgun sequencing project",DBMZTD000000000.1,128,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1548, whole genome shotgun sequencing project",DBMZQQ000000000.1,106,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1704, whole genome shotgun sequencing project",DBMZOT000000000.1,112,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1515, whole genome shotgun sequencing project",DBMZMM000000000.1,93,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1189, whole genome shotgun sequencing project",DBMZLW000000000.1,103,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN0809, whole genome shotgun sequencing project",DBMZLS000000000.1,82,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1082, whole genome shotgun sequencing project",DBMYEA000000000.1,81,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_290, whole genome shotgun sequencing project",DBMYDI000000000.1,108,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1447, whole genome shotgun sequencing project",DBMYCQ000000000.1,169,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1043, whole genome shotgun sequencing project",DBMYCO000000000.1,118,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1111, whole genome shotgun sequencing project",DBMYCG000000000.1,86,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1030, whole genome shotgun sequencing project",DBMYAC000000000.1,100,False,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_304, whole genome shotgun sequencing project",DBNEVY000000000.1,115,False,True
blaKPC,,"Proteus mirabilis isolate 2026CE-CRO_03_26_001, whole genome shotgun sequencing project",ACCQZM000000000.1,143,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate K58, whole genome shotgun sequencing project",DBMZVC000000000.1,70,False,True
blaKPC,,"Klebsiella pneumoniae BCKpn9 blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-296, complete CDS",NG_246046.1,1118,False,True
blaKPC,,"Klebsiella pneumoniae 383Kp blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-295, complete CDS",NG_246045.1,1088,False,True
blaKPC,,"Enterobacter cloacae M30019 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-294, complete CDS",NG_246044.1,882,False,True
blaKPC,,"Klebsiella pneumoniae BCKpn12 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-293, complete CDS",NG_246043.1,1082,False,True
blaKPC,,"Klebsiella pneumoniae M28900 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-292, complete CDS",NG_246042.1,882,False,True
blaKPC,,"Klebsiella pneumoniae KP251 blaKPC gene for class A beta-lactamase KPC-291, complete CDS",NG_246041.1,1076,False,True
blaKPC,,"Klebsiella pneumoniae KPN250380 blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-290, complete CDS",NG_246040.1,882,False,True
blaKPC,,"Pseudomonas aeruginosa PAXW27 blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-289, complete CDS",NG_246039.1,912,False,True
blaKPC,,"Pseudomonas aeruginosa SRMPA7089 blaKPC gene for inhibitor-resistant class A beta-lactamase KPC-288, complete CDS",NG_246038.1,888,False,True
blaKPC,,"Klebsiella pneumoniae ISTTKP0124 unknown blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-245, complete CDS",NG_244123.1,1109,False,True
blaKPC,,"Klebsiella pneumoniae A123 unknown blaKPC gene for inhibitor-resistant class A beta-lactamase KPC-150, complete CDS",NG_242294.1,873,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1861, whole genome shotgun sequencing project",DBMZQB000000000.1,150,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN0555, whole genome shotgun sequencing project",DBMZTD000000000.1,128,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1548, whole genome shotgun sequencing project",DBMZQQ000000000.1,106,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1704, whole genome shotgun sequencing project",DBMZOT000000000.1,112,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1515, whole genome shotgun sequencing project",DBMZMM000000000.1,93,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN1189, whole genome shotgun sequencing project",DBMZLW000000000.1,103,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae strain KLPN0809, whole genome shotgun sequencing project",DBMZLS000000000.1,82,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1082, whole genome shotgun sequencing project",DBMYEA000000000.1,81,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_290, whole genome shotgun sequencing project",DBMYDI000000000.1,108,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1447, whole genome shotgun sequencing project",DBMYCQ000000000.1,169,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1043, whole genome shotgun sequencing project",DBMYCO000000000.1,118,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1111, whole genome shotgun sequencing project",DBMYCG000000000.1,86,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1030, whole genome shotgun sequencing project",DBMYAC000000000.1,100,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_13, whole genome shotgun sequencing project",DBMYAA000000000.1,118,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1230, whole genome shotgun sequencing project",DBMXZF000000000.1,152,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1163, whole genome shotgun sequencing project",DBMXYK000000000.1,102,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_20, whole genome shotgun sequencing project",DBMXXB000000000.1,128,False,True
blaKPC,,"TPA_asm: Escherichia coli isolate INT_CRE_1053, whole genome shotgun sequencing project",DBMXWE000000000.1,56,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1262, whole genome shotgun sequencing project",DBMXUE000000000.1,103,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_1252, whole genome shotgun sequencing project",DBMXTY000000000.1,74,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_27, whole genome shotgun sequencing project",DBMXSV000000000.1,120,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_780, whole genome shotgun sequencing project",DBMXRX000000000.1,82,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_785, whole genome shotgun sequencing project",DBMXRZ000000000.1,123,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_600, whole genome shotgun sequencing project",DBMXQO000000000.1,149,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_604, whole genome shotgun sequencing project",DBMXQQ000000000.1,138,False,True
blaKPC,,"TPA_asm: Enterobacter hormaechei isolate INT_CRE_602, whole genome shotgun sequencing project",DBMXQP000000000.1,91,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_760, whole genome shotgun sequencing project",DBMXOH000000000.1,122,False,True
blaKPC,,"TPA_asm: Escherichia coli isolate INT_CRE_762, whole genome shotgun sequencing project",DBMXOI000000000.1,77,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_587, whole genome shotgun sequencing project",DBMXNK000000000.1,91,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_59, whole genome shotgun sequencing project",DBMXNM000000000.1,88,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_580, whole genome shotgun sequencing project",DBMXNH000000000.1,94,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_973, whole genome shotgun sequencing project",DBMXKS000000000.1,162,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_867, whole genome shotgun sequencing project",DBMXJI000000000.1,75,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_802, whole genome shotgun sequencing project",DBMXIU000000000.1,151,False,True
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate INT_CRE_857, whole genome shotgun sequencing project",DBMXEG000000000.1,109,False,True
blaKPC,,"TPA_asm: Escherichia coli isolate INT_CRE_858, whole genome shotgun sequencing project",DBMXEH000000000.1,125,False,True
blaKPC,,"Klebsiella pneumoniae N4103871 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-143, complete CDS",NG_088403.1,882,True,False
blaKPC,,"Klebsiella pneumoniae N3182918 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-142, complete CDS",NG_088402.1,903,True,False
blaKPC,,"Klebsiella pneumoniae N2192196 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-141, complete CDS",NG_088401.1,885,True,False
blaKPC,,"Klebsiella pneumoniae N0194414 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-140, complete CDS",NG_088400.1,927,True,False
blaKPC,,"Klebsiella pneumoniae M7213934 unknown blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-139, complete CDS",NG_088399.1,900,True,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate 9i spring, whole genome shotgun sequencing project",DBHBTF000000000.1,151,True,False
blaKPC,,"Klebsiella pneumoniae subsp. pneumoniae N0244028 blaKPC gene for inhibitor-resistant class A beta-lactamase KPC-106, complete CDS",NG_078056.1,900,True,False
blaKPC,,"Klebsiella pneumoniae BT_746 blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-26, complete CDS",NG_051469.1,882,True,False
blaKPC,,"Klebsiella pneumoniae 2006689 blaKPC gene for inhibitor-resistant extended-spectrum class A beta-lactamase KPC-73, complete CDS",NG_070741.1,894,True,False
blaKPC,,"Klebsiella pneumoniae 331 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-114, complete CDS",NG_079889.1,888,True,False
blaKPC,,"Klebsiella pneumoniae 330 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-113, complete CDS",NG_079888.1,885,True,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate KP42, whole genome shotgun sequencing project",DAGNFM000000000.1,192,True,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate KP30, whole genome shotgun sequencing project",DAGNFX000000000.1,115,True,False
blaKPC,,"Klebsiella pneumoniae subsp. pneumoniae M9171130 blaKPC gene for class A beta-lactamase KPC-108, complete CDS",NG_078055.1,957,True,False
blaKPC,,"Klebsiella pneumoniae subsp. pneumoniae M5282978 blaKPC gene for class A beta-lactamase KPC-105, complete CDS",NG_078054.1,927,True,False
blaKPC,,"Klebsiella pneumoniae subsp. pneumoniae M6284360 blaKPC gene for class A beta-lactamase KPC-107, complete CDS",NG_078053.1,966,True,False
blaKPC,,"Klebsiella pneumoniae subsp. pneumoniae M7173549 blaKPC gene for class A beta-lactamase KPC-104, complete CDS",NG_078052.1,906,True,False
blaKPC,,"Klebsiella pneumoniae subsp. pneumoniae L2304797 blaKPC gene for class A beta-lactamase KPC-103, complete CDS",NG_078051.1,918,True,False
blaKPC,,"Uncultured bacterium clone W05SP-PI KPC family beta-lactamase (blaKPC) gene, partial cds",MW478859.1,444,True,False
blaKPC,,"TPA_asm: Escherichia coli strain 2128, whole genome shotgun sequencing project",DADGUW000000000.1,131,True,False
blaKPC,,"Klebsiella pneumoniae 1472816 blaKPC gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-30, complete CDS",NG_054685.1,882,True,False
blaKPC,,"TPA_asm: Klebsiella pneumoniae isolate 9i spring, whole genome shotgun sequencing project",DBHBTF000000000.1,151,True,True
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate B40, whole genome shotgun sequencing project",DBNFXN000000000.1,135,False,False
blaNDM,,"Escherichia coli isolate 2026DM-00042, whole genome shotgun sequencing project",ACCWZW000000000.1,165,False,False
blaNDM,,"TPA_asm: Klebsiella pneumoniae strain CRE085, whole genome shotgun sequencing project",DBNDSR000000000.1,201,False,False
blaNDM,,"Klebsiella pneumoniae strain 2026EP-00072, whole genome shotgun sequencing project",ACCTRX000000000.1,62,False,False
blaNDM,,"Escherichia coli isolate 2026ZN-00320, whole genome shotgun sequencing project",ACCTJX000000000.1,128,False,False
blaNDM,,"Klebsiella pneumoniae strain 2026GO-00109, whole genome shotgun sequencing project",ACCRQA000000000.1,88,False,False
blaNDM,,"Escherichia coli isolate 2026KU-00053, whole genome shotgun sequencing project",ACCRPP000000000.1,140,False,False
blaNDM,,"Klebsiella pneumoniae KPN 5708 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-97, complete CDS",NG_246047.1,1013,False,False
blaNDM,,"Klebsiella pneumoniae 140507 unknown blaNDM gene for subclass B1 metallo-beta-lactamase NDM-41, complete CDS",NG_078034.1,813,False,False
blaNDM,,"Escherichia coli 1100101 unknown blaNDM gene for subclass B1 metallo-beta-lactamase NDM-6, complete CDS",NG_049338.1,813,False,False
blaNDM,,"Klebsiella oxytoca isolate 2026DU-00050, whole genome shotgun sequencing project",ACCQPK000000000.1,108,False,False
blaNDM,,"Acinetobacter baumannii isolate 2026DK-00042, whole genome shotgun sequencing project",ACCPPT000000000.1,70,False,False
blaNDM,,"Acinetobacter baumannii isolate 2026DM-00032, whole genome shotgun sequencing project",ACCOVB000000000.1,155,False,False
blaNDM,,"Klebsiella pneumoniae isolate 2026LN-00013-2/2026, whole genome shotgun sequencing project",ACCNSE000000000.1,112,False,False
blaNDM,,"Acinetobacter baumannii isolate 2026DK-00029, whole genome shotgun sequencing project",ACCMNG000000000.1,70,False,False
blaNDM,,"Escherichia coli isolate 2026ZN-00245, whole genome shotgun sequencing project",ACCMJV000000000.1,94,False,False
blaNDM,,"Klebsiella pneumoniae isolate 2026ZN-00247, whole genome shotgun sequencing project",ACCMJW000000000.1,75,False,False
blaNDM,,"Klebsiella pneumoniae isolate 2026KU-00046, whole genome shotgun sequencing project",ACCMCF000000000.1,93,False,False
blaNDM,,"Acinetobacter baumannii isolate 2026QG-00027, whole genome shotgun sequencing project",ACCLTI000000000.1,104,False,False
blaNDM,,"Escherichia coli isolate 2026IQ-00050, whole genome shotgun sequencing project",ACCKJG000000000.1,105,False,False
blaNDM,,"TPA_asm: Acinetobacter baumannii strain CR67-18, whole genome shotgun sequencing project",DBMRNP000000000.1,77,False,False
blaNDM,,"Escherichia coli isolate 2026LY-00054, whole genome shotgun sequencing project",ACCGMJ000000000.1,82,False,False
blaNDM,,"TPA_asm: Klebsiella pneumoniae isolate CRE000000622-rtZF3INyL8HTXL/BfEjC/HSGhZtdyVX4IES9pqggwt4=, whole genome shotgun sequencing project",DBMFSK000000000.1,100,False,False
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVNW000000000.1,101,False,False
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVML000000000.1,106,False,False
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVMC000000000.1,108,False,False
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVLM000000000.1,99,False,False
blaNDM,,"Klebsiella pneumoniae isolate 2026LY-00004, whole genome shotgun sequencing project",ACCFGA000000000.1,65,False,False
blaNDM,,"Klebsiella pneumoniae isolate 2026IQ-00022, whole genome shotgun sequencing project",ACCFAZ000000000.1,105,False,False
blaNDM,,"Klebsiella pneumoniae isolate 2026ZN-00122, whole genome shotgun sequencing project",ACCEBS000000000.1,102,False,False
blaNDM,,"Klebsiella pneumoniae isolate 2026ZN-00121, whole genome shotgun sequencing project",ACCEBU000000000.1,145,False,False
blaNDM,,"Escherichia coli isolate 2026ZN-00136, whole genome shotgun sequencing project",ACCEBQ000000000.1,136,False,False
blaNDM,,"Escherichia coli strain ECO2 plasmid unnamed1, complete sequence",NZ_CP090338.1,117468,False,False
blaNDM,,"Proteus mirabilis isolate 2026DU-00006, whole genome shotgun sequencing project",ACCDJX000000000.1,89,False,False
blaNDM,,"Klebsiella pneumoniae HS370 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-96, complete CDS",NG_245928.1,970,False,False
blaNDM,,"Escherichia coli NRZ-110534 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-95, complete CDS",NG_245927.1,813,False,False
blaNDM,,"Klebsiella pneumoniae NRZ-104155b blaNDM gene for subclass B1 metallo-beta-lactamase NDM-94, complete CDS",NG_245926.1,813,False,False
blaNDM,,"Pseudomonas aeruginosa isolate 2026ZN-00053, whole genome shotgun sequencing project",ACCAAP000000000.1,116,False,False
blaNDM,,"TPA_asm: Acinetobacter baumannii strain Acinetobacter_119 isolate Acinetobacter_Army_ASU_119, whole genome shotgun sequencing project",DBLKYP000000000.1,112,False,False
blaNDM,,"Escherichia coli isolate 2025CR-00138, whole genome shotgun sequencing project",ACBWQW000000000.1,115,False,False
blaNDM,,"TPA_asm: Klebsiella pneumoniae isolate NG_0002, whole genome shotgun sequencing project",DBLFIH000000000.1,194,False,False
blaNDM,,"TPA_asm: Klebsiella pneumoniae isolate NG_0154, whole genome shotgun sequencing project",DBLFHG000000000.1,167,False,False
blaNDM,,"Acinetobacter baumannii isolate 2025DK-00430, whole genome shotgun sequencing project",ACBTME000000000.1,73,False,False
blaNDM,,"TPA_asm: Klebsiella pneumoniae strain 14878 isolate 14878, whole genome shotgun sequencing project",DBLECT000000000.1,172,False,False
blaNDM,,"Escherichia coli isolate 2025DM-00105, whole genome shotgun sequencing project",ACBRFC000000000.1,210,False,False
blaNDM,,"Escherichia coli isolate 2025DM-00102, whole genome shotgun sequencing project",ACBREY000000000.1,167,False,False
blaNDM,,"Enterobacter hormaechei isolate 2025IQ-00472, whole genome shotgun sequencing project",ACBQKO000000000.1,43,False,False
blaNDM,,"Escherichia coli strain 2025GO-00556, whole genome shotgun sequencing project",ACBPCZ000000000.1,85,False,False
blaNDM,,"Klebsiella pneumoniae strain 2025EP-00459, whole genome shotgun sequencing project",ACBORP000000000.1,70,False,False
blaNDM,,"Pseudomonas aeruginosa isolate 2025JQ-00249, whole genome shotgun sequencing project",ACBLPV000000000.1,83,False,False
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate B40, whole genome shotgun sequencing project",DBNFXN000000000.1,135,False,True
blaNDM,,"Escherichia coli isolate 2026DM-00042, whole genome shotgun sequencing project",ACCWZW000000000.1,165,False,True
blaNDM,,"TPA_asm: Klebsiella pneumoniae strain CRE085, whole genome shotgun sequencing project",DBNDSR000000000.1,201,False,True
blaNDM,,"Klebsiella pneumoniae strain 2026EP-00072, whole genome shotgun sequencing project",ACCTRX000000000.1,62,False,True
blaNDM,,"Escherichia coli isolate 2026ZN-00320, whole genome shotgun sequencing project",ACCTJX000000000.1,128,False,True
blaNDM,,"Klebsiella pneumoniae strain 2026GO-00109, whole genome shotgun sequencing project",ACCRQA000000000.1,88,False,True
blaNDM,,"Escherichia coli isolate 2026KU-00053, whole genome shotgun sequencing project",ACCRPP000000000.1,140,False,True
blaNDM,,"Klebsiella pneumoniae KPN 5708 blaNDM gene for subclass B1 metallo-beta-lactamase NDM-97, complete CDS",NG_246047.1,1013,False,True
blaNDM,,"Klebsiella oxytoca isolate 2026DU-00050, whole genome shotgun sequencing project",ACCQPK000000000.1,108,False,True
blaNDM,,"Acinetobacter baumannii isolate 2026DK-00042, whole genome shotgun sequencing project",ACCPPT000000000.1,70,False,True
blaNDM,,"Acinetobacter baumannii isolate 2026DM-00032, whole genome shotgun sequencing project",ACCOVB000000000.1,155,False,True
blaNDM,,"Klebsiella pneumoniae isolate 2026LN-00013-2/2026, whole genome shotgun sequencing project",ACCNSE000000000.1,112,False,True
blaNDM,,"Acinetobacter baumannii isolate 2026DK-00029, whole genome shotgun sequencing project",ACCMNG000000000.1,70,False,True
blaNDM,,"Escherichia coli isolate 2026ZN-00245, whole genome shotgun sequencing project",ACCMJV000000000.1,94,False,True
blaNDM,,"Klebsiella pneumoniae isolate 2026ZN-00247, whole genome shotgun sequencing project",ACCMJW000000000.1,75,False,True
blaNDM,,"Klebsiella pneumoniae isolate 2026KU-00046, whole genome shotgun sequencing project",ACCMCF000000000.1,93,False,True
blaNDM,,"Acinetobacter baumannii isolate 2026QG-00027, whole genome shotgun sequencing project",ACCLTI000000000.1,104,False,True
blaNDM,,"Escherichia coli isolate 2026IQ-00050, whole genome shotgun sequencing project",ACCKJG000000000.1,105,False,True
blaNDM,,"TPA_asm: Acinetobacter baumannii strain CR67-18, whole genome shotgun sequencing project",DBMRNP000000000.1,77,False,True
blaNDM,,"Escherichia coli isolate 2026LY-00054, whole genome shotgun sequencing project",ACCGMJ000000000.1,82,False,True
blaNDM,,"TPA_asm: Klebsiella pneumoniae isolate CRE000000622-rtZF3INyL8HTXL/BfEjC/HSGhZtdyVX4IES9pqggwt4=, whole genome shotgun sequencing project",DBMFSK000000000.1,100,False,True
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVNW000000000.1,101,False,True
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVML000000000.1,106,False,True
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVMC000000000.1,108,False,True
blaNDM,,"TPA_asm: Acinetobacter baumannii isolate Acinetobacter baumannii, whole genome shotgun sequencing project",DBLVLM000000000.1,99,False,True
blaNDM,,"Klebsiella pneumoniae isolate 2026LY-00004, whole genome shotgun sequencing project",ACCFGA000000000.1,65,False,True
blaNDM,,"Klebsiella pneumoniae isolate 2026IQ-00022, whole genome shotgun sequencing project",ACCFAZ000000000.1,105,False,True
blaNDM,,"Klebsiella pneumoniae isolate 2026ZN-00122, whole genome shotgun sequencing project",ACCEBS000000000.1,102,False,True
blaNDM,,"Klebsiella pneumoniae isolate 2026ZN-00121, whole genome shotgun sequencing project",ACCEBU000000000.1,145,False,True
